0,99,"the 1st Century, 1C, 1-C"
100,199,"the 2nd Century, the 100s, 2C, 2-C"
200,299,"the 3rd Century, the 200s, 3C, 3-C"
300,399,"the 4th Century, the 300s, 4C, 4-C"
400,499,"the 5th Century, the 400s, 5C, 5-C"
500,599,"the 6th Century, the 500s, 6C, 6-C"
600,699,"the 7th Century, the 600s, 7C, 7-C"
700,799,"the 8th Century, the 700s, 8C, 8-C"
800,899,"the 9th Century, the 800s, 9C, 9-C"
900,999,"the 10th Century, the 900s, 10C, 10-C"
1000,1099,"the 11th Century, the 1000s, 11C, 11-C"
1100,1199,"the 12th Century, the 1100s, 12C, 12-C"
1200,1299,"the 13th Century, the 1200s, 13C, 13-C"
1300,1399,"the 14th Century, the 1300s, 14C, 14-C"
1400,1499,"the 15th Century, the 1400s, 15C, 15-C"
1500,1599,"the 16th Century, the 1500s, 16C, 16-C"
1600,1699,"the 17th Century, the 1600s, 17C, 17-C"
1700,1799,"the 18th Century, the 1700s, 18C, 18-C"
1800,1899,"the 19th Century, the 1800s, 19C, 19-C"
1900,1999,"the 20th Century, the 1900s, 20C, 20-C"
2000,2099,"the 21st Century, 21C, 21-C"
1000,1009,"the 10-oughts"
1010,1019,"the 1010s"
1020,1029,"the 1020s"
1030,1039,"the 1030s"
1040,1049,"the 1040s"
1050,1059,"the 1050s"
1060,1069,"the 1060s"
1070,1079,"the 1070s"
1080,1089,"the 1080s"
1090,1099,"the 1090s"
1100,1109,"the 11-oughts"
1110,1119,"the 1110s"
1120,1129,"the 1120s"
1130,1139,"the 1130s"
1140,1149,"the 1140s"
1150,1159,"the 1150s"
1160,1169,"the 1160s"
1170,1179,"the 1170s"
1180,1189,"the 1180s"
1190,1199,"the 1190s"
1200,1209,"the 12-oughts"
1210,1219,"the 1210s"
1220,1229,"the 1220s"
1230,1239,"the 1230s"
1240,1249,"the 1240s"
1250,1259,"the 1250s"
1260,1269,"the 1260s"
1270,1279,"the 1270s"
1280,1289,"the 1280s"
1290,1299,"the 1290s"
1300,1309,"the 13-oughts"
1310,1319,"the 1310s"
1320,1329,"the 1320s"
1330,1339,"the 1330s"
1340,1349,"the 1340s"
1350,1359,"the 1350s"
1360,1369,"the 1360s"
1370,1379,"the 1370s"
1380,1389,"the 1380s"
1390,1399,"the 1390s"
1400,1409,"the 14-oughts"
1410,1419,"the 1410s"
1420,1429,"the 1420s"
1430,1439,"the 1430s"
1440,1449,"the 1440s"
1450,1459,"the 1450s"
1460,1469,"the 1460s"
1470,1479,"the 1470s"
1480,1489,"the 1480s"
1490,1499,"the 1490s"
1500,1509,"the 15-oughts"
1510,1519,"the 1510s"
1520,1529,"the 1520s"
1530,1539,"the 1530s"
1540,1549,"the 1540s"
1550,1559,"the 1550s"
1560,1569,"the 1560s"
1570,1579,"the 1570s"
1580,1589,"the 1580s"
1590,1599,"the 1590s"
1600,1609,"the 16-oughts"
1610,1619,"the 1610s"
1620,1629,"the 1620s"
1630,1639,"the 1630s"
1640,1649,"the 1640s"
1650,1659,"the 1650s"
1660,1669,"the 1660s"
1670,1679,"the 1670s"
1680,1689,"the 1680s"
1690,1699,"the 1690s"
1700,1709,"the 17-oughts"
1710,1719,"the 1710s"
1720,1729,"the 1720s"
1730,1739,"the 1730s"
1740,1749,"the 1740s"
1750,1759,"the 1750s"
1760,1769,"the 1760s"
1770,1779,"the 1770s"
1780,1789,"the 1780s"
1790,1799,"the 1790s"
1800,1809,"the 18-oughts"
1810,1819,"the 1810s"
1820,1829,"the 1820s"
1830,1839,"the 1830s"
1840,1849,"the 1840s"
1850,1859,"the 1850s"
1860,1869,"the 1860s"
1870,1879,"the 1870s"
1880,1889,"the 1880s"
1890,1899,"the 1890s"
1900,1999,"the 20th Century, the 1900s"
1900,1909,"the 00s, the 19-oughts"
1910,1919,"the 10s, the 1910s"
1920,1929,"the 20s, the 1920s"
1930,1939,"the 30s, the 1930s"
1940,1949,"the 40s, the 1940s"
1950,1959,"the 50s, the 1950s"
1960,1969,"the 60s, the 1960s"
1970,1979,"the 70s, the 1970s"
1980,1989,"the 80s, the 1980s"
1990,1999,"the 90s, the 1990s"
2020,2023,"covid pandemic, covid 19 pandemic, covid-19 pandemic"
1939,1945,"world war II, world war 2, wwii, ww2"
800,1806,"holy roman empire"
1929,1939,the great depression
1936,1939,the spanish civil war
1937,1945,the Second Sino-Japanese War
-428,-348,plato lifetime
-384,-322,aristotle lifetime
-27,180,Pax Romana
1720,1770,"rococo period, rococo"
